"username","acquired_from_username","acquired_at"
"catcassia","callanightshade","2026-02-14 00:23:42.602343+00"
"lbbhswift","audrey2731","2026-02-14 00:54:17.558318+00"
"iheartyquestionmark","blueyberryy","2026-02-14 01:14:38.860186+00"
"jazzayss","tqylorswift","2026-02-14 01:52:48.400991+00"
"corvettec8z06.","joseph.s.taylorsversion","2026-02-14 01:54:25.9769+00"
"periodtdavo","dreamer94","2026-02-14 02:07:08.112804+00"
"username13","mikeeyj","2026-02-14 02:35:20.425707+00"
"rachelicate","catcassia","2026-02-14 02:38:44.058712+00"
"sohighschoool","iheartyquestionmark","2026-02-14 03:15:28.720684+00"
"immortalwinters","jazzayss","2026-02-14 03:53:07.915846+00"
"mstar","corvettec8z06.","2026-02-14 03:54:46.960045+00"
"legolas.13","periodtdavo","2026-02-14 04:07:14.325678+00"
"BiancaBot","wonheillit","2026-02-14 04:14:13.565911+00"
"tallelia","sohighschoool","2026-02-14 05:18:14.679177+00"
"bb4_nation","immortalwinters","2026-02-14 05:53:16.428472+00"
"creep.666.","legolas.13","2026-02-14 06:07:16.064869+00"
"beans080801","lbbhswift","2026-02-14 06:20:40.787926+00"
"nothingly","bb4_nation","2026-02-14 07:53:59.721849+00"
"nattaylorsv","creep.666.","2026-02-14 08:09:06.883282+00"
"babymonster3","sara18","2026-02-14 08:29:28.11862+00"
"swiftie_13.de","tallelia","2026-02-14 08:38:48.875481+00"
"riler1989","beans080801","2026-02-14 09:18:07.620624+00"
"hedgesofprayer","nothingly","2026-02-14 09:54:04.374409+00"
"sparkleeee","isnt_it_delicate","2026-02-14 10:10:06.028917+00"
"imfeyz_","nattaylorsv","2026-02-14 10:10:15.312298+00"
"imverysleepyyy","babymonster3","2026-02-14 10:52:48.383347+00"
"habsmcj","swiftie_13.de","2026-02-14 11:33:17.201158+00"
"jaden0715","hedgesofprayer","2026-02-14 11:54:31.986581+00"
"snufkineli","mstar","2026-02-14 11:55:09.447685+00"
"mpeg3.mafia","imfeyz_","2026-02-14 12:10:44.795246+00"
"chloe.13","username13","2026-02-14 12:48:20.531017+00"
"woom72080","riler1989","2026-02-14 13:00:27.300451+00"
"therealbnuuy_official","snufkineli","2026-02-14 13:55:40.332775+00"
"thelifeofashowguy","jaden0715","2026-02-14 14:01:16.4676+00"
"ash_rose_devil.","mpeg3.mafia","2026-02-14 14:10:46.485223+00"
"mytearsricotay","woom72080","2026-02-14 15:42:31.952459+00"
"claudiu00812","therealbnuuy_official","2026-02-14 15:56:02.76516+00"
"jackyson61","thelifeofashowguy","2026-02-14 16:01:24.793583+00"
"j.m13.livie","ash_rose_devil.","2026-02-14 16:10:50.538251+00"
"_therealleo_","habsmcj","2026-02-14 16:41:06.28751+00"
"imnotfar3ss","mytearsricotay","2026-02-14 17:48:33.018298+00"
"furwani","claudiu00812","2026-02-14 18:01:20.416914+00"
"opencraft95","jackyson61","2026-02-14 18:01:30.683184+00"
"vsmxzz","j.m13.livie","2026-02-14 18:15:12.285568+00"
"mymlizz","chloe.13","2026-02-14 18:38:39.761202+00"
"kears123","_therealleo_","2026-02-14 18:58:48.198922+00"
"samantha.le07","opencraft95","2026-02-14 20:01:34.627836+00"
"lils39","furwani","2026-02-14 20:02:04.015518+00"
"bunchakles","vsmxzz","2026-02-14 20:15:14.225833+00"
"wadeeripplee","imnotfar3ss","2026-02-14 20:56:19.038829+00"
"hotstuffmaria","kears123","2026-02-14 20:59:36.323404+00"
"aleexxxxxxxxxxx","samantha.le07","2026-02-14 22:02:05.781158+00"
"jorylb","bunchakles","2026-02-14 22:18:46.101765+00"
"snatgod","lils39","2026-02-14 22:53:10.178481+00"
"pgieon","hi.im.pat","2026-02-14 23:01:11.830514+00"
"diana_13","hotstuffmaria","2026-02-14 23:05:39.966334+00"
".marsbars143","wadeeripplee","2026-02-14 23:42:48.225151+00"
"mckeydeez","aleexxxxxxxxxxx","2026-02-15 00:02:17.380935+00"
"ajloveshergf","jorylb","2026-02-15 00:25:48.627762+00"
"yehidah","snatgod","2026-02-15 00:53:10.565179+00"
"reputationvaults",".marsbars143","2026-02-15 01:49:19.485099+00"
"falseg0d13","mckeydeez","2026-02-15 02:02:27.071724+00"
"emma._.36","ajloveshergf","2026-02-15 02:41:12.712649+00"
"drawingheartsinthebyline","yehidah","2026-02-15 03:04:48.579026+00"
"kiss1ust","reputationvaults","2026-02-15 03:52:07.438544+00"
"picturetoburn","falseg0d13","2026-02-15 04:02:28.308145+00"
".sendhelp","drawingheartsinthebyline","2026-02-15 05:04:57.015441+00"
"cavalier.mcgraw_","hightidesandblueskies_17","2026-02-15 05:12:33.858295+00"
"dom0319","diana_13","2026-02-15 05:16:59.471957+00"
"catoswizzcheese","picturetoburn","2026-02-15 05:24:49.56901+00"
"wildestace","emma._.36","2026-02-15 06:04:25.107033+00"
"usachan0",".sendhelp","2026-02-15 06:05:44.696261+00"
"esscntials","catoswizzcheese","2026-02-15 06:35:06.80751+00"
"nowjustandrew","dom0319","2026-02-15 06:57:22.121036+00"
"devzzaaaaa","wildestace","2026-02-15 07:04:34.405873+00"
"singlace","usachan0","2026-02-15 07:05:58.619068+00"
"dilfsandicedtea","esscntials","2026-02-15 07:35:20.407934+00"
"emma0619.","singlace","2026-02-15 08:06:53.2548+00"
"amara8675","devzzaaaaa","2026-02-15 08:08:43.639475+00"
"nomnomnono","dilfsandicedtea","2026-02-15 08:36:39.607503+00"
"codyjohnson0995","nowjustandrew","2026-02-15 08:46:50.557923+00"
".kaydin.","emma0619.","2026-02-15 09:07:56.692853+00"
"woesies_stars","amara8675","2026-02-15 09:08:44.587509+00"
"iivbnq","nomnomnono","2026-02-15 09:36:48.17551+00"
"yuriloverlover100","kiss1ust","2026-02-15 09:38:32.022723+00"
"white._.claw",".kaydin.","2026-02-15 10:07:59.111635+00"
"shreya_vish","woesies_stars","2026-02-15 10:27:29.604317+00"
"evinine","iivbnq","2026-02-15 10:36:53.193072+00"
"arrow2001","white._.claw","2026-02-15 11:09:54.174251+00"
"elenaspace","shreya_vish","2026-02-15 11:28:04.097673+00"
"hazzarrr","evinine","2026-02-15 11:37:42.492515+00"
"historicc","mymlizz","2026-02-15 12:05:05.958983+00"
"tanzyeet","arrow2001","2026-02-15 12:11:33.71072+00"
"randomisedusername23","elenaspace","2026-02-15 12:31:07.240034+00"
".reputation_13.","hazzarrr","2026-02-15 13:17:07.537108+00"
"emfrere","tanzyeet","2026-02-15 13:19:15.394137+00"
"reyyy_2120","randomisedusername23","2026-02-15 13:31:15.388368+00"
"swirlyts","cavalier.mcgraw_","2026-02-15 13:45:55.078838+00"
"angelthatswiftie",".reputation_13.","2026-02-15 14:18:46.002794+00"
"gamesbond006","emfrere","2026-02-15 14:22:54.358257+00"
".ah_yeonii","reyyy_2120","2026-02-15 14:31:25.281213+00"
"apve","swirlyts","2026-02-15 15:02:28.75746+00"
"wayzzmaster","pgieon","2026-02-15 15:09:04.022879+00"
"st4r._g4zing","yuriloverlover100","2026-02-15 15:13:10.244008+00"
"yeowoogul","sparkleeee","2026-02-15 15:19:59.702899+00"
"femininefatality","angelthatswiftie","2026-02-15 15:23:50.92366+00"
"deliciousmonster_a","gamesbond006","2026-02-15 15:23:55.150817+00"
"BenjiBot",".uncletoe","2026-02-15 15:32:39.849411+00"
"arii._.3",".ah_yeonii","2026-02-15 15:33:24.310947+00"
"LosingHimWasBlue","apve","2026-02-15 16:03:09.490083+00"
"pullingjorstrings","deliciousmonster_a","2026-02-15 16:24:08.240358+00"
"s.carlettie","femininefatality","2026-02-15 16:35:28.586603+00"
